C1,C2,C3,C4,L1,L2,L3,L4,L5,L6,__robert_name__,yield
True,False,False,False,False,False,False,False,False,True,18,6
True,False,False,False,False,False,False,False,True,False,19,8
True,False,False,False,True,False,False,False,False,False,23,9
False,True,False,False,True,False,False,False,False,False,17,19
False,True,False,False,False,True,False,False,False,False,16,21
False,False,False,True,True,False,False,False,False,False,5,23
False,False,True,False,True,False,False,False,False,False,11,27
False,False,False,True,False,False,False,False,True,False,1,30
False,False,False,True,False,True,False,False,False,False,4,36
False,False,False,True,False,False,False,False,False,True,0,37
True,False,False,False,False,False,False,True,False,False,20,45
True,False,False,False,False,True,False,False,False,False,22,47
False,True,False,False,False,False,False,False,True,False,13,51
False,False,True,False,False,True,False,False,False,False,10,55
False,True,False,False,False,False,False,False,False,True,12,55
False,True,False,False,False,False,True,False,False,False,15,56
False,False,True,False,False,False,False,False,False,True,6,57
True,False,False,False,False,False,True,False,False,False,21,60
False,False,False,True,False,False,True,False,False,False,3,64
False,True,False,False,False,False,False,True,False,False,14,65
False,False,True,False,False,False,False,True,False,False,8,69
False,False,False,True,False,False,False,True,False,False,2,73
False,False,True,False,False,False,True,False,False,False,9,76
False,False,True,False,False,False,False,False,True,False,7,77
