C1,C2,C3,L1,L2,L3,L4,L5,__robert_name__,yield,Set
True,False,False,False,False,False,False,False,18,6,Training
True,False,False,False,False,False,False,True,19,8,Training
True,False,False,True,False,False,False,False,23,9,Training
False,True,False,True,False,False,False,False,17,19,Test
False,True,False,False,True,False,False,False,16,21,Training
False,False,False,True,False,False,False,False,5,23,Training
False,False,True,True,False,False,False,False,11,27,Training
False,False,False,False,False,False,False,True,1,30,Training
False,False,False,False,True,False,False,False,4,36,Test
False,False,False,False,False,False,False,False,0,37,Training
True,False,False,False,False,False,True,False,20,45,Training
True,False,False,False,True,False,False,False,22,47,Training
False,True,False,False,False,False,False,True,13,51,Test
False,False,True,False,True,False,False,False,10,55,Training
False,True,False,False,False,False,False,False,12,55,Training
False,True,False,False,False,True,False,False,15,56,Training
False,False,True,False,False,False,False,False,6,57,Training
True,False,False,False,False,True,False,False,21,60,Test
False,False,False,False,False,True,False,False,3,64,Training
False,True,False,False,False,False,True,False,14,65,Training
False,False,True,False,False,False,True,False,8,69,Test
False,False,False,False,False,False,True,False,2,73,Training
False,False,True,False,False,True,False,False,9,76,Training
False,False,True,False,False,False,False,True,7,77,Training
