__robert_name__,C1,C2,C3,L1,L2,L3,L4,L5,yield,yield_pred,yield_pred_sd,yield_pred_conformal_hw,Set
18,True,False,False,False,False,False,False,False,6,6.141636916360412,0.0,19.22127844073554,CV
19,True,False,False,False,False,False,False,True,8,8.018631475090485,0.0,19.22127844073554,CV
23,True,False,False,True,False,False,False,False,9,8.954240634574669,0.0,19.22127844073554,CV
16,False,True,False,False,True,False,False,False,21,21.00935801343099,0.0,19.22127844073554,CV
5,False,False,False,True,False,False,False,False,23,23.004186788052678,0.0,19.22127844073554,CV
11,False,False,True,True,False,False,False,False,27,26.980747054155422,0.0,19.22127844073554,CV
1,False,False,False,False,False,False,False,True,30,29.99058790096236,0.0,19.22127844073554,CV
0,False,False,False,False,False,False,False,False,37,37.035590361421875,0.0,19.22127844073554,CV
20,True,False,False,False,False,False,True,False,45,44.992028791793054,0.0,19.22127844073554,CV
22,True,False,False,False,True,False,False,False,47,46.973404963767855,0.0,19.22127844073554,CV
10,False,False,True,False,True,False,False,False,55,55.01059815096722,0.0,19.22127844073554,CV
12,False,True,False,False,False,False,False,False,55,55.00890692733739,0.0,19.22127844073554,CV
15,False,True,False,False,False,True,False,False,56,55.99178947170013,0.0,19.22127844073554,CV
6,False,False,True,False,False,False,False,False,57,57.02620565288394,0.0,19.22127844073554,CV
3,False,False,False,False,False,True,False,False,64,63.96931451006321,0.0,19.22127844073554,CV
14,False,True,False,False,False,False,True,False,65,64.99041042791784,0.0,19.22127844073554,CV
2,False,False,False,False,False,False,True,False,73,72.98670718815428,0.0,19.22127844073554,CV
9,False,False,True,False,False,True,False,False,76,76.01516480051617,0.0,19.22127844073554,CV
7,False,False,True,False,False,False,False,True,77,77.00684493936646,0.0,19.22127844073554,CV
17,False,True,False,True,False,False,False,False,19,34.05598083575251,17.916167078100422,19.22127844073554,Test
4,False,False,False,False,True,False,False,False,36,44.72275538561265,6.150296284131146,19.22127844073554,Test
13,False,True,False,False,False,False,False,True,51,54.36092905516918,8.262747440978728,19.22127844073554,Test
21,True,False,False,False,False,True,False,False,60,36.92936091909649,2.786016420376834,19.22127844073554,Test
8,False,False,True,False,False,False,True,False,69,69.38274319056934,10.513755573491423,19.22127844073554,Test
