__robert_name__,Pd_precatalyst,Ligand,Pd_loading,Temperature,Selectfluor,yield
0,C4,L6,10,60,2.0,37
1,C4,L5,10,60,2.0,30
2,C4,L4,10,60,2.0,73
3,C4,L3,10,60,2.0,64
4,C4,L2,10,60,2.0,36
5,C4,L1,10,60,2.0,23
6,C3,L6,10,60,2.0,57
7,C3,L5,10,60,2.0,77
8,C3,L4,10,60,2.0,69
9,C3,L3,10,60,2.0,76
10,C3,L2,10,60,2.0,55
11,C3,L1,10,60,2.0,27
12,C2,L6,10,60,2.0,55
13,C2,L5,10,60,2.0,51
14,C2,L4,10,60,2.0,65
15,C2,L3,10,60,2.0,56
16,C2,L2,10,60,2.0,21
17,C2,L1,10,60,2.0,19
18,C1,L6,10,60,2.0,6
19,C1,L5,10,60,2.0,8
20,C1,L4,10,60,2.0,45
21,C1,L3,10,60,2.0,60
22,C1,L2,10,60,2.0,47
23,C1,L1,10,60,2.0,9
